token_id,sequence_id,region_id,x,y,tier_id,size
1,0,7,0,0,2,79
2,0,3,1,0,4,59
3,1,2,2,0,2,79
4,1,4,3,0,2,59
5,2,2,4,0,3,59
6,3,2,5,0,3,79
7,3,4,6,0,4,59
8,4,5,7,0,5,79
9,4,6,8,0,1,79
10,5,1,9,0,5,79
11,6,1,10,0,2,79
12,6,2,11,0,3,59
13,7,3,12,0,5,59
14,7,3,13,0,1,79
15,8,4,14,0,4,79
16,9,6,15,0,5,79
17,9,2,16,0,1,59
18,10,2,17,0,3,79
19,10,3,18,0,4,59
20,11,2,19,0,4,59
21,12,3,20,0,3,59
22,12,3,21,0,3,79
23,13,3,22,0,2,59
24,13,1,23,0,3,59
25,14,1,24,0,5,59
26,15,3,25,0,3,79
27,15,1,26,0,1,79
28,16,3,27,0,5,59
29,16,5,28,0,3,79
30,17,6,29,0,5,59
31,18,2,30,0,4,59
32,18,7,31,0,5,79
33,19,5,32,0,4,59
34,19,4,33,0,3,79
35,20,3,34,0,1,79
36,21,6,35,0,2,59
37,21,1,36,0,2,79
38,22,6,37,0,3,59
39,22,6,38,0,4,59
40,23,6,39,0,3,59
41,24,2,40,0,2,59
42,24,5,41,0,2,79
43,25,2,42,0,5,79
44,25,5,43,0,1,59
45,26,7,44,0,3,59
46,27,1,45,0,1,59
47,27,6,46,0,4,59
48,28,6,47,0,1,79
49,28,5,48,0,3,59
50,29,5,49,0,1,79
51,30,1,50,0,3,59
52,30,1,51,0,2,79
53,31,5,52,0,2,59
54,31,7,53,0,4,79
55,32,5,54,0,3,79
56,33,5,55,0,3,59
57,33,6,56,0,4,79
58,34,2,57,0,4,79
59,34,5,58,0,1,79
60,35,3,59,0,5,59
61,36,5,60,0,2,79
62,36,5,61,0,1,79
63,37,6,62,0,4,79
64,37,2,63,0,3,59
65,38,6,64,0,3,79
66,39,5,65,0,5,79
67,39,4,66,0,2,79
68,40,1,67,0,4,59
69,40,6,68,0,5,59
70,41,2,69,0,1,79
71,42,1,70,0,3,59
72,42,7,71,0,3,79
73,43,2,72,0,1,79
74,43,2,73,0,5,79
75,44,1,74,0,3,79
76,45,3,75,0,2,79
77,45,7,76,0,2,59
78,46,7,77,0,2,59
79,46,3,78,0,2,59
80,47,4,79,0,2,79
81,48,3,80,0,3,79
82,48,6,81,0,2,79
83,49,2,82,0,3,79
84,49,6,83,0,4,59
85,50,3,84,0,4,79
86,51,7,85,0,2,59
87,51,3,86,0,2,59
88,52,3,87,0,2,79
89,52,5,88,0,2,79
90,53,7,89,0,2,59
91,54,1,90,0,1,59
92,54,4,91,0,3,79
93,55,5,92,0,4,79
94,55,3,93,0,2,79
95,56,7,94,0,1,79
96,57,1,95,0,4,79
97,57,2,96,0,3,79
98,58,1,97,0,1,79
99,58,6,98,0,2,79
100,59,2,99,0,3,79
101,60,7,100,0,1,79
102,60,2,101,0,2,79
103,61,5,102,0,1,79
104,61,2,103,0,2,79
105,62,5,104,0,3,59
106,63,5,105,0,3,79
107,63,4,106,0,4,59
108,64,1,107,0,1,79
109,64,3,108,0,5,79
110,65,7,109,0,1,79
111,66,6,110,0,2,59
112,66,5,111,0,2,59
113,67,3,112,0,3,59
114,67,3,113,0,2,59
115,68,5,114,0,2,59
116,69,2,115,0,5,59
117,69,4,116,0,5,59
118,70,3,117,0,3,59
119,70,5,118,0,1,59
120,71,6,119,0,3,79
121,72,1,120,0,2,79
122,72,6,121,0,5,79
123,73,2,122,0,4,59
124,73,3,123,0,4,59
125,74,6,124,0,4,79
126,75,3,125,0,2,79
127,75,4,126,0,4,79
128,76,1,127,0,3,79
129,76,4,128,0,5,79
130,77,7,129,0,5,79
131,78,6,130,0,1,59
132,78,1,131,0,1,79
133,79,2,132,0,2,59
134,79,4,133,0,1,79
135,80,2,134,0,1,59
136,81,7,135,0,2,59
137,81,1,136,0,4,59
138,82,5,137,0,5,59
139,82,7,138,0,1,59
140,83,2,139,0,2,79
141,84,7,140,0,2,79
142,84,3,141,0,4,79
143,85,5,142,0,1,79
144,85,2,143,0,2,59
145,86,6,144,0,3,79
146,87,7,145,0,3,59
147,87,7,146,0,2,79
148,88,1,147,0,4,79
149,88,5,148,0,2,59
150,89,6,149,0,1,59
151,90,3,150,0,4,59
152,90,4,151,0,2,59
153,91,6,152,0,5,59
154,91,2,153,0,2,59
155,92,5,154,0,4,79
156,93,4,155,0,1,59
157,93,6,156,0,3,59
158,94,4,157,0,5,79
159,94,7,158,0,3,79
160,95,6,159,0,4,79
161,96,1,160,0,1,59
162,96,1,161,0,2,79
163,97,7,162,0,3,59
164,97,3,163,0,2,79
165,98,5,164,0,2,79
166,99,4,165,0,2,59
167,99,4,166,0,4,79
168,100,3,167,0,3,79
169,100,5,168,0,1,79
170,101,7,169,0,3,59
171,102,5,170,0,5,79
172,102,7,171,0,3,79
173,103,1,172,0,2,79
174,103,6,173,0,5,59
175,104,2,174,0,5,59
176,105,7,175,0,3,59
177,105,3,176,0,5,59
178,106,7,177,0,2,79
179,106,2,178,0,4,79
180,107,2,179,0,4,79
181,108,2,180,0,3,79
182,108,3,181,0,5,79
183,109,4,182,0,3,79
184,109,5,183,0,2,79
185,110,6,184,0,3,79
186,111,1,185,0,3,59
187,111,6,186,0,3,79
188,112,3,187,0,5,79
189,112,4,188,0,2,59
190,113,2,189,0,5,59
191,114,4,190,0,1,79
192,114,1,191,0,5,59
193,115,1,192,0,2,79
194,115,1,193,0,5,59
195,116,7,194,0,2,79
196,117,1,195,0,4,59
197,117,2,196,0,5,59
198,118,4,197,0,3,59
199,118,6,198,0,5,59
200,119,5,199,0,3,59
