token_id,sequence_id,region_id,x,y,tier_id,size
1,0,6,0,0,1,59
2,0,5,1,0,1,59
3,0,1,2,0,3,79
4,0,6,3,0,3,59
5,0,6,4,0,2,59
6,0,6,5,0,5,79
7,0,4,6,0,3,59
8,0,5,7,0,1,59
9,0,7,8,0,5,59
10,0,5,9,0,1,59
11,0,7,10,0,4,79
12,0,3,11,0,3,59
13,0,5,12,0,1,59
14,0,5,13,0,4,59
15,0,1,14,0,2,79
16,0,2,15,0,5,59
17,0,1,16,0,5,79
18,0,3,17,0,2,79
19,0,1,18,0,5,59
20,0,2,19,0,3,59
21,0,5,20,0,3,59
22,0,3,21,0,5,79
23,0,7,22,0,5,79
24,0,2,23,0,4,79
25,0,5,24,0,1,79
26,0,1,25,0,4,79
27,0,4,26,0,3,59
28,0,5,27,0,1,79
29,0,7,28,0,5,79
30,0,2,29,0,3,59
31,0,6,30,0,3,79
32,0,5,31,0,5,59
33,0,5,32,0,1,59
34,0,2,33,0,5,79
35,0,7,34,0,1,79
36,0,2,35,0,3,59
37,0,4,36,0,1,59
38,0,1,37,0,5,79
39,0,4,38,0,3,59
40,0,2,39,0,3,59
41,0,5,40,0,4,59
42,0,6,41,0,2,59
43,0,6,42,0,4,79
44,0,3,43,0,2,59
45,0,5,44,0,2,79
46,0,3,45,0,3,79
47,0,5,46,0,3,59
48,0,1,47,0,1,59
49,0,5,48,0,2,59
50,0,4,49,0,1,59
51,0,1,50,0,5,59
52,0,3,51,0,3,59
53,0,2,52,0,3,59
54,0,6,53,0,4,59
55,0,1,54,0,1,59
56,0,1,55,0,3,79
57,0,1,56,0,5,79
58,0,4,57,0,4,79
59,0,2,58,0,3,79
60,0,3,59,0,5,79
61,0,2,60,0,4,79
62,0,4,61,0,4,79
63,0,2,62,0,4,59
64,0,7,63,0,2,79
65,0,4,64,0,1,79
66,0,2,65,0,3,79
67,0,5,66,0,5,59
68,0,1,67,0,3,59
69,0,6,68,0,2,79
70,0,7,69,0,3,79
71,0,7,70,0,4,59
72,0,5,71,0,2,79
73,0,7,72,0,4,79
74,0,5,73,0,1,59
75,0,1,74,0,5,59
76,0,1,75,0,3,79
77,0,3,76,0,4,79
78,0,7,77,0,2,79
79,0,6,78,0,5,59
80,0,5,79,0,5,79
81,0,3,80,0,3,79
82,0,2,81,0,1,79
83,0,6,82,0,2,79
84,0,4,83,0,5,79
85,0,6,84,0,1,79
86,0,4,85,0,3,59
87,0,2,86,0,1,59
88,0,2,87,0,5,59
89,0,2,88,0,1,79
90,0,1,89,0,5,79
91,0,6,90,0,2,59
92,0,7,91,0,3,79
93,0,6,92,0,3,59
94,0,7,93,0,2,59
95,0,5,94,0,2,79
96,0,6,95,0,5,59
97,0,6,96,0,3,59
98,0,3,97,0,4,59
99,0,1,98,0,4,79
100,0,1,99,0,5,79
101,0,7,100,0,1,79
102,0,2,101,0,1,79
103,0,7,102,0,3,79
104,0,4,103,0,2,59
105,0,2,104,0,1,79
106,0,4,105,0,4,79
107,0,4,106,0,4,59
108,0,7,107,0,5,59
109,0,1,108,0,4,79
110,0,4,109,0,4,79
111,0,1,110,0,4,79
112,0,6,111,0,1,79
113,0,1,112,0,4,59
